V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34
1	31.6000003814697	-56.75	34.5999984741211	32.2999992370605	-21.5	9.5	-26.4500007629395	-20.2000007629395	29.1000003814697	68.8000030517578	69.5500030517578	0	-20.7000007629395	-15.6000003814697	-12.6500000953674	10.1999998092651	15.25	17.3499994277954	26.6000003814697	-21.2000007629395	-23.2000007629395	16.2999992370605	-13.1000003814697	-30.2999992370605	-25.0999994277954	16.2000007629395	-9.10000038146973	-30.2999992370605	-11.6500000953674	-38.4000015258789	-25.7000007629395	-26.3499994277954	24.1000003814697	34.0999984741211
2	NA	18.5	-8.89999961853027	16	13.1000003814697	-7.59999990463257	19.5	-10.6000003814697	20.4499998092651	37.0999984741211	54.2000007629395	0	-34.2999992370605	-16.5500001907349	8.30000019073486	8.89999961853027	14.0999999046326	-12.1000003814697	11.3999996185303	16.8999996185303	7.90000009536743	-12.3999996185303	13.3000001907349	11.9499998092651	12.5	13.5	10.8000001907349	12.3999996185303	-8.30000019073486	19.5	9	17	-14.0500001907349	-11.8000001907349
3	NA	NA	13.6999998092651	-10.8000001907349	13	-6.19999980926514	15.3999996185303	10.5	-8.19999980926514	-12.6000003814697	18.2999992370605	17.6999998092651	-20.75	-13.6000003814697	9.60000038146973	9.89999961853027	8	9.60000038146973	7.30000019073486	11.8000001907349	9	14.8999996185303	6.40000009536743	11.1500000953674	16.3999996185303	11.8000001907349	7.80000019073486	9.80000019073486	9.10000038146973	14	12	6.5	-12.1000003814697	12.25
4	NA	NA	NA	12.6999998092651	6.30000019073486	10.1999998092651	14	8.39999961853027	8.69999980926514	9.30000019073486	21.8000001907349	21.75	-7.64999985694885	8.84999990463257	8.10000038146973	-8.5	9.59999990463257	-8.80000019073486	8.39999961853027	-10.1000003814697	10.8999996185303	-9.60000038146973	-8.89999961853027	10	8.5	12.6999998092651	8.69999980926514	-7.5	11	6.5	11.3999996185303	6.25	16.8999996185303	6.59999990463257
5	NA	NA	NA	NA	19.5	-35.7999992370605	24.0500001907349	16.5	22.2999992370605	9.05000019073486	-50.5	-47.9000015258789	11	12	-10.3000001907349	-12.1000003814697	10.5	-14.3999996185303	10.1000003814697	11.8999996185303	17.9499998092651	-10.3499999046326	13.1500000953674	11.5	21	-8.75	15.5	23.0500001907349	-10.3000001907349	27.6000003814697	24.6000003814697	19.5	-21.0999994277954	-16
6	NA	NA	NA	NA	NA	15.6999998092651	-12.1500000953674	-17.6000003814697	16.7999992370605	27.6000003814697	30.6000003814697	33.5999984741211	34.5999984741211	-9.25	11.8999996185303	-11.8999996185303	-8.60000038146973	-11.6999998092651	17.8999996185303	-11.1000003814697	-11.3999996185303	-14.1000003814697	13.3000001907349	-12.3000001907349	18.7999992370605	-11.8000001907349	11.8999996185303	-8.39999961853027	17.8999996185303	-7.5	-13.6000003814697	10.6999998092651	15.5	16
7	NA	NA	NA	NA	NA	NA	18.5	15.6999998092651	34.5999984741211	24.6000003814697	-25.75	24.1000003814697	-7.65000009536743	-9.25	-15.1000003814697	11.3499999046326	-8.34999990463257	-13.6000003814697	11.3000001907349	19.5	8.5	-10.7999997138977	13.3999996185303	25	21.25	8.75	16.5	21.1000003814697	7.64999985694885	-6.45000004768372	11	17.75	-20.3499994277954	-15.1000003814697
8	NA	NA	NA	NA	NA	NA	NA	13.5	-16.7000007629395	-21.7000007629395	-12.6000003814697	14.3999996185303	14	-9.65000009536743	14.3499999046326	7.90000009536743	13.1999998092651	6	11.6000003814697	-6.90000009536743	9.89999961853027	10.0500001907349	13.6999998092651	13.9499998092651	11.8000001907349	11.5	9.30000019073486	11.8999996185303	-7.30000019073486	20.3999996185303	19.5	19.5	-13.6000003814697	10
9	NA	NA	NA	NA	NA	NA	NA	NA	23.5	20.5	-65.0999984741211	-67.0999984741211	-56.5	-28.7000007629395	38.5999984741211	5.90000009536743	27.6000003814697	-14.1000003814697	25.5	37.5499992370605	21.2999992370605	13.6999998092651	9	-12.25	22.8999996185303	-18.1000003814697	22	17.8999996185303	-14.6500000953674	45.2000007629395	35.0999984741211	38.5999984741211	-25.2000007629395	-10.3999996185303
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.6999998092651	37.5999984741211	40.0999984741211	19.3499994277954	12.3000001907349	18.5	12	22.5500001907349	16.2999992370605	22.5	15.1999998092651	12.3999996185303	14	8.5	-10.75	-16.3999996185303	-9.25	17.5	-9.89999961853027	12	7.80000019073486	12.1999998092651	13.8999996185303	21	9.39999961853027
