V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49
1	34.5999984741211	-51	-82.8000030517578	43.2000007629395	46.9500007629395	9.25	50.7000007629395	-47.7000007629395	-32.2999992370605	14.8999996185303	-32.1000003814697	17.1999998092651	-27.75	22.3999996185303	-9.10000038146973	84.9000015258789	60.4500007629395	54.7000007629395	61.7999992370605	78.3000030517578	78.3000030517578	-22.7000007629395	-11.3999996185303	7.59999990463257	-7.79999995231628	-9.55000019073486	-13.8499999046326	19.5	-9.30000019073486	-11.8000001907349	21.5	-11.3000001907349	34.3499984741211	21.1000003814697	26.0500001907349	-10.1999998092651	-20.2000007629395	-25.7000007629395	-26.2999992370605	-10.1999998092651	-34.0499992370605	-50	-35.7999992370605	17	-39.9000015258789	-31.2999992370605	-25.0500001907349	45.2000007629395	16.5
2	NA	19.5	21.3999996185303	-12.6000003814697	20.7999992370605	22.5	-19.2999992370605	12.5	17	-13.1999998092651	20.3999996185303	-19.2000007629395	7	-7.09999990463257	11.8000001907349	42.7000007629395	9.89999961853027	13.9500007629395	10.5	50.2000007629395	0	-15.1000003814697	7.09999990463257	-8.30000019073486	10.8999996185303	-11.1000003814697	17.4499998092651	9.39999961853027	18.3999996185303	-7.75	-9.75	12.1999998092651	9.59999990463257	18.5	-15.8000001907349	10.3000001907349	5.65000009536743	14	-10.4499998092651	-10.8999996185303	14	18.2999992370605	26.1999998092651	7.25	21.8000001907349	12	20	-22.2000007629395	9.89999961853027
3	NA	NA	17.5	-6.30000019073486	12	22.5500001907349	-25.7000007629395	18	18.4499998092651	-17.2000007629395	33	-30.5499992370605	18	-13.6999998092651	15.5	-16.2999992370605	-39.4000015258789	0	-16.6999998092651	35.5999984741211	0	-10.3000001907349	7.65000009536743	-14.1000003814697	12.75	-17.6000003814697	26.3999996185303	-12.2000002861023	-9.04999971389771	11.5	18	23.0500001907349	-24.2999992370605	15.6499996185303	-21.75	10.3999996185303	-16.6000003814697	16	-15.6999998092651	7.30000019073486	23.6000003814697	13.5	25.8999996185303	8.39999961853027	32.0999984741211	17.5	19.25	-27.7000007629395	-11.3999996185303
4	NA	NA	NA	13.1999998092651	-13.1000003814697	15	10	10.6000003814697	16	-12.1999998092651	13.6999998092651	-11.6000003814697	12.3000001907349	8.39999961853027	8.5	-14.1999998092651	-16.2000007629395	-27.2000007629395	-18.2000007629395	20	-35.4000015258789	-15.3999996185303	12.8999996185303	7.85000014305115	9.89999961853027	8.10000038146973	13.3000001907349	7.30000019073486	11.8000001907349	7.40000009536743	9.69999980926514	13	-10.6999998092651	11.8000001907349	-15.1000003814697	12.3000001907349	11.25	11.3000001907349	11.6000003814697	6.69999980926514	10.8000001907349	9.69999980926514	8.89999961853027	8.39999961853027	9.34999990463257	8.44999980926514	12.8000001907349	-9	10.3000001907349
5	NA	NA	NA	NA	13.1999998092651	-19.2999992370605	-19.3999996185303	-7.59999990463257	-9.39999961853027	12.8999996185303	19.2999992370605	-11.1999998092651	10.8999996185303	-10.3000001907349	10	-12.8999996185303	11	-11.8999996185303	7.09999990463257	14.8499999046326	24.1000003814697	-8.30000019073486	11.1999998092651	-7.40000009536743	-7.19999980926514	-10.8000001907349	-6.80000019073486	8.69999980926514	13.5	11.3999996185303	-8.10000038146973	10.3999996185303	-6.40000009536743	-10.6000003814697	-15.6000003814697	11.8499999046326	12.5	-8.69999980926514	8.89999961853027	9.55000019073486	8.80000019073486	14.3000001907349	-9.10000038146973	5.95000004768372	9.80000019073486	13.8999996185303	11.8499999046326	-14.1000003814697	10.6999998092651
6	NA	NA	NA	NA	NA	19.5	-16.6000003814697	20.4499998092651	-13.6000003814697	-14.8999996185303	42.2000007629395	-12.1000003814697	30.1000003814697	15.8999996185303	15.8000001907349	-30.7999992370605	-26.7000007629395	-19.7000007629395	-18.6000003814697	24.7999992370605	0	-17.1500005722046	-21.7000007629395	-15.6000003814697	-23.2000007629395	-11.3999996185303	21	-15.1999998092651	-8.44999980926514	14.5500001907349	9.69999980926514	15.5	13.4499998092651	9.89999961853027	-12.6000003814697	15	-9.19999980926514	11.1999998092651	21.3499994277954	30.1000003814697	15.3000001907349	-12.8000001907349	-15.1999998092651	10.5	13	14.3999996185303	11.3499999046326	-17.2000007629395	-8.39999961853027
7	NA	NA	NA	NA	NA	NA	14.5	-20.2000007629395	-47.9000015258789	22.6000003814697	-9.60000038146973	19.5	-11.75	23.6000003814697	-19.6000003814697	33.5999984741211	36.8499984741211	34.8499984741211	21	19	18.8999996185303	15.8000001907349	-15.1000003814697	10	-23.3500003814697	11.1000003814697	-21.7000007629395	17.7999992370605	-8.5	8.19999980926514	25.3999996185303	-23.7999992370605	32.3499984741211	-14.3999996185303	36.0999984741211	-22.2000007629395	13.5	-23.7000007629395	18.5	-13.4500002861023	-27.5	-34	-33.2999992370605	16.7999992370605	-34.2999992370605	-14.3000001907349	-23.8499994277954	35.0999984741211	-11.1000003814697
8	NA	NA	NA	NA	NA	NA	NA	20.5	-18.6000003814697	-41.9000015258789	19.5	-46.9000015258789	20	9.30000019073486	16.5	-35.6000003814697	-34.7999992370605	-33.7999992370605	-38.2999992370605	-48.5	0	-9.39999961853027	19.7999992370605	12.3999996185303	12	-21.2000007629395	23	-10.6000003814697	17.2000007629395	17	12.1999998092651	18	-27.8499994277954	-6.80000019073486	-35.2999992370605	12	11	20.3999996185303	19.3499994277954	31.1000003814697	28.1000003814697	20.9499998092651	26	-8	29	25.6000003814697	24	-23.7999992370605	-20.7000007629395
9	NA	NA	NA	NA	NA	NA	NA	NA	17.5	15.1999998092651	28.1000003814697	-37.6000003814697	18	14.9499998092651	22.5	-31.7999992370605	-38.7999992370605	-35.6000003814697	-33.7999992370605	-37.0499992370605	0	-12.6999998092651	17.25	-9.5	18.5	-14.3000001907349	13.3999996185303	-6.40000009536743	9.89999961853027	12.5	6.34999990463257	20.5	-15.9500002861023	-9.95000028610229	-25.7000007629395	18.8999996185303	-11.1500000953674	23.1999998092651	-8.60000038146973	15.9499998092651	19	20.5	24.4499998092651	-8.84999990463257	19.9499998092651	11	15	-28	11
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3999996185303	-21.7999992370605	-46.9000015258789	-36.7999992370605	-22.7999992370605	-11.8999996185303	37.5999984741211	25.3999996185303	29.5500001907349	28.6000003814697	36.0999984741211	29.6000003814697	11.6999998092651	-11.6000003814697	-14.1999998092651	-18.7000007629395	-13.1000003814697	-17.2999992370605	31.5	-20.2000007629395	-12.3000001907349	-13.1000003814697	-13.6999998092651	-7.19999980926514	10.3000001907349	45.2000007629395	-19.5	-16.2999992370605	-19.3000001907349	-22.7000007629395	11.1000003814697	-12.1999998092651	-13.6999998092651	-23.7000007629395	22.8999996185303	-34.2999992370605	-28.7999992370605	-24.3999996185303	15.3000001907349	22.8499994277954
