V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71
1	-10.8999996185303	28.1000003814697	23	48.0999984741211	44.2000007629395	-11.6000003814697	25.6000003814697	33.0499992370605	37.0999984741211	21.5	-7.25	-29.7999992370605	-26.7000007629395	9.39999961853027	34.0999984741211	53.2000007629395	53.2000007629395	-21.7000007629395	-40.6500015258789	-48.4000015258789	-46	-45.6500015258789	-27.4500007629395	15.1499996185303	-18.9000005722046	12.8999996185303	22	45.2000007629395	23.6000003814697	-19.2000007629395	-26.2000007629395	-15.6000003814697	0	-36.2999992370605	-56	-36.7999992370605	14	-26.5	-13.6000003814697	54.7000007629395	57.2000007629395	17	46.5999984741211	75.8000030517578	96.4000015258789	-53.5	-57	-65.1999969482422	-59.5999984741211	37.5999984741211	39.0999984741211	2.69999980926514	32.8499984741211	63.2999992370605	86.4000015258789	69.3000030517578	96.9000015258789	97.9000015258789	53.7000007629395	32.0999984741211	22	-10.1000003814697	12.8999996185303	19.2999992370605	23.1000003814697	12.9000000953674	25.1000003814697	35.5	24.1000003814697	16.3999996185303	-44.9000015258789
2	NA	12.5	16	19	13	18.8999996185303	-13.3999996185303	22.5	18.8499994277954	-11.6000003814697	-7	-17.6000003814697	15.1999998092651	-7.59999990463257	-14.8499999046326	15	-12.3999996185303	15.5	-14.6999998092651	-30.7999992370605	-16.6000003814697	17	19	10.5	10.3999996185303	14.8000001907349	13.1999998092651	20.8999996185303	-11.6999998092651	10.6000003814697	7.30000019073486	10	-17.2999992370605	-13.1000003814697	-14.3000001907349	13.5999999046326	27.6000003814697	-25.7000007629395	-7.04999995231628	24.5	13.4499998092651	16.4499998092651	-28.2000007629395	-12.1000003814697	45.2000007629395	32.5999984741211	-11.75	-34.7999992370605	-36.2999992370605	14.1999998092651	25.5	-36.0499992370605	-18.6000003814697	15.5	48.2000007629395	24.75	38.5999984741211	84.1500015258789	41.1499996185303	-20.2000007629395	-13.1999998092651	15.5	13.1999998092651	-15.0999999046326	6	-6.19999980926514	9.30000019073486	-11.1000003814697	10.8000001907349	11.1999998092651	24
3	NA	NA	13.5	-10.3999996185303	-20.2000007629395	11.8000001907349	10.3499999046326	32.0999984741211	24.6000003814697	10.6999998092651	14.4499998092651	-10.8999996185303	12.5	-9.15000009536743	-8.34999990463257	7.04999995231628	14.6500000953674	26.5	18.7999992370605	-26.2999992370605	-14.1499996185303	19.2999992370605	18.3999996185303	14.5	10.3999996185303	17.5	-9.60000038146973	-9.10000038146973	-14.6999998092651	19.5	14.3000001907349	12.3000001907349	-13.8000001907349	-10.5	-6.09999990463257	12.1999998092651	-11.3000001907349	-17.3999996185303	10	16	9.44999980926514	13.8999996185303	16.7999992370605	6.80000019073486	10.8999996185303	12	-12.3999996185303	-20.2000007629395	-29.7999992370605	-16.1000003814697	19	8.80000019073486	-12.6500000953674	-14.8000001907349	-12.8000001907349	13.8000001907349	-30.0999994277954	-11.1999998092651	35.5999984741211	7	-23.2000007629395	10.8999996185303	23.5500001907349	17	14.5	10.1999998092651	13.8000001907349	9.75	7.59999990463257	-8.60000038146973	18.5
4	NA	NA	NA	19.8999996185303	-15.6000003814697	34.0999984741211	-19.1000003814697	14.75	15	-35.2999992370605	24.6000003814697	-11.8000001907349	23.1000003814697	9.89999961853027	-24.5	27.1000003814697	-16.8500003814697	18	-26.5500001907349	-33.0499992370605	25.6000003814697	32.0999984741211	13.6999998092651	13.6999998092651	11.1999998092651	9.05000019073486	-7.70000004768372	-10.5	-30.7999992370605	7	1.59999990463257	14	16	27	31.1000003814697	22	25.5	-39.4000015258789	18	17	-15.6000003814697	-23.2000007629395	-22.3999996185303	17.75	-9	-18.6000003814697	33.5999984741211	24.1000003814697	-20.2999992370605	-21.4500007629395	8.40000009536743	14.9499998092651	14.8000001907349	-16.2999992370605	-11.6999998092651	10.0499997138977	-29.2999992370605	-20.7000007629395	-10.1000003814697	15.5	-23.0499992370605	18.8999996185303	-17.4499998092651	-18.25	-16.3999996185303	-27.1000003814697	15.5999999046326	-10.8000001907349	12.75	18	20.0999994277954
5	NA	NA	NA	NA	14	-29.7999992370605	13.5	15.1999998092651	22	31.1000003814697	8.10000038146973	8.29999971389771	-16.1000003814697	10.5	11.8999996185303	14.3999996185303	15.8000001907349	37.5999984741211	37.3499984741211	13.8999996185303	11.8999996185303	-11.3000001907349	6.40000009536743	7.69999980926514	7.35000014305115	-14.3000001907349	-13.25	-7.94999980926514	28.1000003814697	0.150000095367432	-7.75	12.5	-1.39999985694885	-10.6000003814697	-17.2999992370605	-12.6999998092651	-19.7999992370605	32.5999984741211	-10.1000003814697	-21.2000007629395	19	-8.60000038146973	23	10.6000003814697	-18.2000007629395	17.7999992370605	18.25	31.1000003814697	19.5	-14.6000003814697	-8.84999990463257	30.6000003814697	18.8999996185303	-16.6000003814697	-21.3000001907349	28.6000003814697	8.80000019073486	-15.4500002861023	-30.2999992370605	-7.09999990463257	-22.5500001907349	-10.1000003814697	25.5	23.1000003814697	23.8000001907349	27	10.3999996185303	32.5999984741211	-18.7000007629395	-17.6000003814697	13.6999998092651
6	NA	NA	NA	NA	NA	18.5	-18.7000007629395	-11.3999996185303	-25.7000007629395	-35.2999992370605	15	-11.1999998092651	32.5999984741211	-6.19999980926514	-34.7999992370605	13.9499998092651	-28.2999992370605	-47.9000015258789	-76.1999969482422	-47.4000015258789	35.0999984741211	48.5999984741211	28.6000003814697	23.1000003814697	10.3999996185303	16.3999996185303	17	20.5	-45.4000015258789	13.3000001907349	12.3499999046326	-10.25	11.1999998092651	24.5500001907349	32.5499992370605	12.1000003814697	11.6999998092651	-42.4000015258789	18.8999996185303	27.6000003814697	-22.2000007629395	12.0999999046326	-10.6999998092651	33	6.95000004768372	-34.7999992370605	-40.9000015258789	-41.6500015258789	22.1000003814697	37.5999984741211	-13.8000001907349	46.2000007629395	47.2000007629395	35.5999984741211	31	15	23.1000003814697	19.3999996185303	25.75	-39.6500015258789	-12.3999996185303	12.3000001907349	13.0500001907349	15.8999996185303	-9.10000038146973	-9.5	14	-6.59999990463257	32.5999984741211	22.6000003814697	9.80000019073486
7	NA	NA	NA	NA	NA	NA	11	-33.7999992370605	9.19999980926514	27.6000003814697	11	23.1000003814697	13.8999996185303	13	11	7.19999980926514	-26.2000007629395	-37.2999992370605	-54	19.5	33.5999984741211	11.6999998092651	8.75	-9.65000009536743	6.80000019073486	-16.1000003814697	9.39999961853027	10.3000001907349	14.8999996185303	14	19.75	16.5	17.7000007629395	14.4499998092651	23.1000003814697	-8.00000023841858	-10.6000003814697	23.5	12.5	-31.7999992370605	-13.6000003814697	-16.8999996185303	10.1000003814697	-13.3499999046326	-12.3000001907349	-16.7000007629395	27.1000003814697	38.0999984741211	33.5999984741211	15.3000001907349	-10.6000003814697	-12.6999998092651	-12.6000003814697	-23.7000007629395	-30.7999992370605	8.79999971389771	13.0500001907349	-27.7999992370605	-28.2999992370605	63.7999992370605	44.7000007629395	-9.79999971389771	-13.6000003814697	-12.6000003814697	-17.1000003814697	-16.6000003814697	-16.1000003814697	9.19999980926514	-19.7000007629395	-14.8000001907349	20.5
8	NA	NA	NA	NA	NA	NA	NA	29.1000003814697	23.8999996185303	-13.5500001907349	14	26.1000003814697	34.5999984741211	23.8499994277954	-30.7999992370605	25.1000003814697	-29.7999992370605	-45	-51.75	15	26.5	11	9.19999980926514	13.0999999046326	15	12.6000003814697	21.5	12.3000001907349	-24.7000007629395	21.9499998092651	28.6000003814697	-18.6000003814697	0	27.6000003814697	32.8499984741211	6.30000019073486	23.7999992370605	16	22.1000003814697	-29.2999992370605	-14.6999998092651	-21.2000007629395	14	18.5	15.8999996185303	-42.9000015258789	40.0999984741211	35.5999984741211	57.7000007629395	22.6000003814697	-7.59999990463257	21.8999996185303	17.25	15.8000001907349	-34.7999992370605	-20.2000007629395	27.6000003814697	26.5	-19.2000007629395	61.2999992370605	70.8000030517578	-35.7999992370605	-40.4000015258789	-33.2999992370605	-27.2999992370605	-21.7000007629395	-16.6000003814697	-16.4499998092651	-13.1000003814697	20.5	42.1499996185303
9	NA	NA	NA	NA	NA	NA	NA	NA	11.6000003814697	-12.8000001907349	13.9499998092651	21.75	20.3499994277954	22.0500001907349	-21.2000007629395	21.5500001907349	-35.7999992370605	-50.5	-43.6499996185303	15.4499998092651	23.8000001907349	-22.7999992370605	-18.2000007629395	14.3499999046326	21.75	24.6000003814697	13.0500001907349	-24	-17.2000007629395	21.5	0	-21.7000007629395	0	27.6000003814697	35.5999984741211	12.3999996185303	18.25	12.6999998092651	17.25	-28.2999992370605	-14.1500000953674	-14.0499997138977	22	25.6000003814697	-9.30000019073486	-42.9000015258789	22.1999998092651	43.7000007629395	66.8000030517578	16.2999992370605	-10.3999996185303	0	18.25	14.5	-41.4000015258789	-32.2999992370605	28.6000003814697	23.0500001907349	-12.1000003814697	50.0999984741211	66.0500030517578	-29.5500011444092	-44.9000015258789	-38.9000015258789	-30.2999992370605	-25.2000007629395	-23.7000007629395	-18.6999998092651	-14.6000003814697	8.45000028610229	45.7000007629395
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.69999980926514	-12.6999998092651	-9.30000019073486	-29.7999992370605	13.5	8.80000019073486	-11.1000003814697	19.7999992370605	20	40.5999984741211	23.6000003814697	-39.4000015258789	-53	-40.4000015258789	-28.7999992370605	9.5	9.89999961853027	-8.75	-18.3999996185303	18.5	-18.7000007629395	-18.7999992370605	-8.60000038146973	11.9500002861023	13.3499999046326	11.5	-10.6000003814697	-17.7000007629395	33.5999984741211	-16.1000003814697	14.4499998092651	16.3999996185303	-8.69999980926514	7	-13.1000003814697	-20.7000007629395	18.5	-10.1500000953674	14.3000001907349	-15.1000003814697	-16.2999992370605	12.8999996185303	18.2999992370605	7.69999980926514	13.9499998092651	26.1999998092651	-12.75	10.8000001907349	26	16.3999996185303	-9.69999980926514	35.5	35.5999984741211	23.1000003814697	30.8500003814697	9.84999990463257	-27.2999992370605	-32.7999992370605	-17.7000007629395	44.2000007629395	16.5	44.8499984741211
