chr1	11680001	12190000	1
chr1	36085001	36400000	2
chr1	45490001	45755000	3
chr1	86700001	86950000	4
chr1	89630001	89855000	5
chr1	93665001	93915000	6
chr1	107785001	108210000	7
chr1	143180001	143430000	8
chr1	145805001	146055000	9
chr1	150970001	151350000	10
chr1	153355001	153995000	11
chr1	154935001	155330000	12
chr1	156485001	156770000	13
chr1	160980001	161230000	14
chr1	167545001	167755000	15
chr1	167755001	167805000	15
chr1	180910001	181160000	16
chr1	202805001	202950000	17
chr1	202950001	203330000	18
chr1	204340001	204590000	19
chr1	209615001	209890000	20
chr1	211255001	213055000	20
chr1	225420001	226740000	21
chr1	234475001	235015000	22
chr1	235860001	236060000	23
chr1	244650001	244975000	24
chr1	246930001	247455000	24
chr1	248710001	248956422	24
chr10	5805001	6415000	25
chr10	43075001	43460000	26
chr10	44720001	44760000	26
chr10	44760001	45010000	26
chr10	62610001	62865000	27
chr10	68955001	69485000	28
chr10	71650001	71900000	29
chr10	72215001	72405000	29
chr10	73715001	74180000	30
chr10	80405001	80665000	31
chr10	89180001	89430000	32
chr10	96585001	96835000	33
chr10	97250001	97520000	34
chr10	100900001	101150000	35
chr10	102055001	102750000	36
chr10	103645001	103920000	37
chr10	109880001	110925000	38
chr10	123995001	124245000	39
chr10	124245001	125165000	39
chr10	127905001	128225000	40
chr10	132305001	132595000	41
chr10	133175001	133425000	42
chr11	265001	850000	43
chr11	3780001	4100000	44
chr11	6375001	6685000	45
chr11	10400001	10860000	46
chr11	18320001	18725000	47
chr11	33860001	34110000	48
chr11	34910001	35175000	49
chr11	36355001	36625000	49
chr11	47175001	47430000	50
chr11	47430001	48180000	51
chr11	57305001	57805000	52
chr11	61785001	62035000	53
chr11	62540001	62885000	54
chr11	63765001	64160000	54
chr11	64160001	64410000	54
chr11	64410001	65415000	54
chr11	65415001	65665000	54
chr11	65665001	67260000	55
chr11	67260001	67510000	56
chr11	68000001	68475000	57
chr11	72580001	72830000	58
chr11	75325001	75585000	59
chr11	78185001	78435000	60
chr11	86055001	86305000	61
chr11	96145001	96395000	62
chr11	118850001	119125000	63
chr11	122635001	122785000	64
