V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55
1	32.5999984741211	-53.5	28.75	58.7000007629395	76.3000030517578	59.7000007629395	49.9500007629395	34.5499992370605	40.0999984741211	-30.2999992370605	17.8999996185303	11.6999998092651	-14.3000001907349	-17.1000003814697	-18.0500001907349	19	-12.6000003814697	85.9000015258789	63.7999992370605	77.3000030517578	0	-42.9000015258789	-38.9000015258789	-19.9500007629395	-19.1000003814697	12.8000001907349	12.6999998092651	-30.2999992370605	-41.9000015258789	24.6000003814697	0.450000047683716	13.3999996185303	-20.4500007629395	-23.9500007629395	-22.5	9.10000038146973	-12.75	26.5	46.4500007629395	39.0999984741211	-22.7000007629395	10.7999997138977	-26	-24	-17.3999996185303	-47.9000015258789	-32.7999992370605	-28.7999992370605	17.5	-43.9000015258789	-41.4000015258789	-38.2999992370605	38.5999984741211	30.6000003814697	16.7999992370605
2	NA	16	-16.6000003814697	-8.10000038146973	-30.7999992370605	15	-13.6000003814697	12.5	-7	12.3999996185303	-7.5	23.1000003814697	24.6000003814697	-21.7000007629395	13.5	-10.3000001907349	11.5	17	-15.1500000953674	29.6000003814697	-35.7999992370605	-35.7999992370605	-15.6000003814697	-8.89999961853027	-11.6000003814697	9	-11.3000001907349	-18.6000003814697	12.1999998092651	11.5	12.8000001907349	-14.3499999046326	14.5	-14.3999996185303	-7.80000019073486	7.85000014305115	18.5	12.8000001907349	15.8000001907349	-15.1000003814697	12.3000001907349	-14.6000003814697	20.5	14.3999996185303	-14.1000003814697	13	9.39999961853027	19	-8	15.3000001907349	9.10000038146973	23.6000003814697	-13.3000001907349	-11.1000003814697	12
3	NA	NA	14.3999996185303	-28.7999992370605	-20.5	-10.1000003814697	-18.1000003814697	7.09999990463257	14.5	15.8999996185303	8.60000038146973	16.5	10.8999996185303	-12.6000003814697	15	8.10000038146973	10.6999998092651	-25.8999996185303	-12.9000000953674	-13.3000001907349	0	-14.0500001907349	-11.6500000953674	-22.7999992370605	16.5	-8.84999990463257	11.6999998092651	-13.1999998092651	9.19999980926514	13.5	9.09999990463257	-8.65000009536743	15.1500000953674	-9.80000019073486	-4.95000004768372	-11.6000003814697	14.3999996185303	-14.75	-10.8000001907349	-23.7000007629395	13.5	-9.60000038146973	-8.84999990463257	9.5	13.5	10.3999996185303	14	13	-8.30000019073486	12	16.5	10	-13.75	11.3000001907349	13.8000001907349
4	NA	NA	NA	26	13.6999998092651	-12.6000003814697	-37.7999992370605	-19.4499998092651	-9.60000038146973	22.6000003814697	-15.9000000953674	12.6999998092651	13.4499998092651	-23.7000007629395	9.5	-12.0500001907349	10.6000003814697	-16.6000003814697	-9.5	19.8999996185303	0	-17.7999992370605	12.5999999046326	8	18.5	-7.40000009536743	-18.4000005722046	-16.6000003814697	15.6499996185303	9.89999961853027	17.9499998092651	-12.8999996185303	13.4499998092651	-15.6999998092651	-7.25	-21.2999992370605	15.75	-10.8000001907349	8.60000038146973	-11.3999996185303	12.1999998092651	-8.80000019073486	-16.1999998092651	21.1499996185303	15.5	14.3999996185303	-11.1999998092651	13.4499998092651	-11.8999996185303	21.3000001907349	8.15000009536743	9.89999961853027	-18.7000007629395	17	32.0999984741211
5	NA	NA	NA	NA	18.5	-34.7999992370605	-32.2999992370605	-24.7000007629395	10.8999996185303	-19.25	-16.75	8.19999980926514	-17.1000003814697	19.5	-13.8999996185303	20.8999996185303	-13.1999998092651	10.1999998092651	15.5	18	19.3999996185303	-9.39999961853027	7	-10.6000003814697	-12.2000002861023	13.5	21.5	11.4499998092651	-21.2000007629395	-7.40000009536743	13.6999998092651	24.6000003814697	-12.6999998092651	29.1000003814697	16.2999992370605	18.5	-22.2000007629395	20.8999996185303	-18.2000007629395	-10.6000003814697	-12.3000001907349	22.8999996185303	-14.1000003814697	-11.2000002861023	12.8999996185303	-17.6000003814697	-8.5	-30.8999996185303	11.3499999046326	-15.6000003814697	11.3000001907349	-16.3000001907349	14.8999996185303	8.39999961853027	16.25
6	NA	NA	NA	NA	NA	11.5	31.1000003814697	-8.60000038146973	16.5	13	10	20	14.6999998092651	-14.8000001907349	11	-10.8999996185303	6.5	12.0999999046326	7.40000009536743	17.6499996185303	26.6000003814697	-10.6000003814697	-9.19999980926514	-16.2000007629395	6.30000019073486	8.89999961853027	10.1999998092651	-11.1000003814697	-13.1999998092651	10.5	18.9499998092651	-8.90000009536743	-10.9500002861023	-13.1999998092651	-8.89999961853027	11.8999996185303	13.8999996185303	8.5	12	-14.6000003814697	7.19999980926514	14.3999996185303	-9.19999980926514	-12.3000001907349	-7.5	-9.69999980926514	12.75	-12.1500000953674	10	14.8999996185303	12.8999996185303	11.2999997138977	-15.25	9.80000019073486	11.4499998092651
7	NA	NA	NA	NA	NA	NA	-12.3000001907349	-6.59999990463257	27	-24.7000007629395	12.3999996185303	-10.1000003814697	-19.0500001907349	9.5	-10.8999996185303	-11.8000001907349	-9.10000038146973	12.3999996185303	14.3999996185303	19.5	0	-26	-12.1999998092651	-21.7000007629395	12	10	-13.1500000953674	13.3999996185303	-12.8000001907349	9.65000009536743	-9.89999961853027	12.6500000953674	10.5500001907349	-10.8999996185303	-12.6999998092651	-15.6500000953674	-26.5500001907349	-6.80000019073486	-20.2000007629395	14.5	-10.1999998092651	11.8999996185303	8.80000019073486	-14.6000003814697	9.65000009536743	-12.6000003814697	-14.2000002861023	-15.1999998092651	13.6999998092651	-14.1000003814697	-10.7999997138977	19.9499998092651	10.6999998092651	8.19999980926514	-9.30000019073486
8	NA	NA	NA	NA	NA	NA	NA	18.8999996185303	-15.3000001907349	-13.1999998092651	9.10000038146973	13.5	9.39999961853027	-13.6999998092651	14	9.89999961853027	11.3999996185303	-16.3000001907349	-12.9000000953674	11.25	0	-22.2000007629395	0.600000143051147	-25.7000007629395	16.9499998092651	6.19999980926514	-14.6999998092651	15.8000001907349	-9.80000019073486	-9.19999980926514	-25.0499992370605	11.1999998092651	20.8499994277954	13.5	-13.6000003814697	8	7.5	10	-20.7000007629395	-19.5	13.5	15.8000001907349	21	-15.6000003814697	10.0999999046326	13.4499998092651	15.5	-11.8000001907349	-8.69999980926514	12.1999998092651	14.1999998092651	17.5	7.09999990463257	-11.6000003814697	-19.3999996185303
9	NA	NA	NA	NA	NA	NA	NA	NA	12.1999998092651	-14.6000003814697	9.89999961853027	17	6	14.3999996185303	13	15.5	-10.3000001907349	22.8000001907349	25.8999996185303	18	8.50000095367432	21.4499998092651	14.4000000953674	9.55000019073486	-11.6000003814697	-8.19999980926514	-11.9499998092651	8.69999980926514	-9.5	8.80000019073486	-7.59999990463257	15.3000001907349	6.59999990463257	17.5	10.4499998092651	-12.1000003814697	-9.39999961853027	17	-9.44999980926514	29.6000003814697	-8.89999961853027	13.9499998092651	7.19999980926514	-9.20000028610229	11.3000001907349	-8.19999980926514	-12.1999998092651	-9.89999961853027	12.1999998092651	-7.80000019073486	-11.1500000953674	-13.5500001907349	27.6000003814697	7.40000009536743	-13.1000003814697
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.8999996185303	-24.7000007629395	30.1000003814697	20.5	-33.7999992370605	17	8.39999961853027	20.5	-39.4000015258789	-45.9000015258789	-35.9000015258789	-38.3500003814697	14.5	22.4499998092651	-9.39999961853027	15.3999996185303	-9.89999961853027	-14.6000003814697	-16.6000003814697	17	9.84999990463257	18.5	-13.6999998092651	15.1500000953674	12.2999997138977	18	17	19.2000007629395	-12.1000003814697	-20.2000007629395	-29.7999992370605	15.3999996185303	7.80000019073486	26.25	21.1499996185303	14.3999996185303	24.5	26.6000003814697	32.5999984741211	-16.2000007629395	32.5999984741211	16.7999992370605	20	-21.7999992370605	-16.7000007629395	17
