V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84
1	19	-13.3000001907349	82.9000015258789	76.8000030517578	-28.7999992370605	-53	-24.7000007629395	-22.7000007629395	-34.7999992370605	33.5	70.3000030517578	67.0500030517578	72.3000030517578	73.8000030517578	53.7000007629395	61.2999992370605	76.3000030517578	-39.9000015258789	-45.75	-39.0499992370605	46.7000007629395	-25.7000007629395	18.3999996185303	87.4000015258789	98.4000015258789	60.2000007629395	-9.5	-15.3999996185303	19	-8.60000038146973	-16.2999992370605	-17.7000007629395	65.8000030517578	90.9000015258789	0	95.4000015258789	59.7000007629395	79.8000030517578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.7000007629395	-14.8000001907349	12	-11.5500001907349	20.5	-18.7000007629395	-9.10000038146973	15.5	27.5	-7	-12.6000003814697	-5.85000014305115	19.5	42.4500007629395	55.2000007629395	24.5500001907349	-11.6999998092651	22.6000003814697	63	11.8999996185303	17	-20.5	22	-11.6000003814697	6.64999985694885	13.6000003814697	25.1000003814697	16.9499998092651	16	18	0
2	NA	13	-13.1999998092651	13.1999998092651	42.2000007629395	89.1500015258789	94.4000015258789	39.5999984741211	-59	-66.5999984741211	-56.25	-57.25	-50	-37.7999992370605	-33.0499992370605	15.9000000953674	-26.2000007629395	70.8000030517578	95.9000015258789	98.4000015258789	87.9000015258789	66.3000030517578	20.5	23	27.1000003814697	76.3000030517578	95.1500015258789	77.8000030517578	62.9499988555908	32.5999984741211	47.0999984741211	88.9000015258789	-23.7000007629395	47.2000007629395	0	-26.2000007629395	-27.4500007629395	-32.7999992370605	16.5	76.8000030517578	64.0000019073486	0	0	0	0	0	0	0	0	0	0	0	0	53.2000007629395	-20.7000007629395	10.4499998092651	11.5	-20.5500001907349	13.3000001907349	13	-26.2000007629395	-32.9000015258789	-12.6000003814697	37.0999984741211	13.3999996185303	-11.1999998092651	-25.2000007629395	-22.2000007629395	17.8999996185303	26	20.5	-25.7000007629395	-12.6000003814697	-15.1999998092651	60.2000007629395	12.6999998092651	71.3000030517578	55.2000007629395	-34.7999992370605	-51.75	-7.85000014305115	-9.79999971389771	6.5	0
3	NA	NA	19.2999992370605	9	61.2000007629395	23.6000003814697	10.3000001907349	-23.7000007629395	98.4000015258789	98.4000015258789	98.9000015258789	98.9000015258789	98.9000015258789	98.9000015258789	98.9000015258789	85.9000015258789	55.7000007629395	47.2000007629395	93.9000015258789	98.4000015258789	62.2000007629395	97.9000015258789	51.7000007629395	-35.7999992370605	52.9500007629395	50.2000007629395	-35.2999992370605	-41.9000015258789	-55	-44.9000015258789	-39.4000015258789	31.3499994277954	40.1499996185303	69.3000030517578	0	-41.9000015258789	-31.7999992370605	21.3999996185303	54.7000007629395	83.9000015258789	0	0	0	0	0	0	0	0	0	0	0	0	0	14.25	-25	32.0999984741211	16.5	15.5	-8.39999961853027	20	25	13.9499998092651	-11.1000003814697	31.6000003814697	-16.7000007629395	21.25	-20.2000007629395	-19.6000003814697	-15.9000005722046	-26.5500001907349	22.6999998092651	25.1000003814697	-12.3999996185303	-40.9000015258789	-36.4000015258789	73.3000030517578	-46.4000015258789	84.9000015258789	73.5500030517578	39.5999984741211	-50.25	-9.10000038146973	91.4000015258789	0
4	NA	NA	NA	12	22.1000003814697	-34.7999992370605	-44	12.6999998092651	84.4000015258789	76.3000030517578	79.8000030517578	93.4000015258789	84.9000015258789	81.9000015258789	86.9000015258789	34.5	-21.7000007629395	14.6499996185303	77.5500030517578	93.9000015258789	26.1000003814697	-20.1500005722046	77.8000030517578	24.1000003814697	19	19.3999996185303	-52	-51.75	-30.2999992370605	-21.2000007629395	11.6999998092651	24.1000003814697	55.7000007629395	35.5	0	-34.2999992370605	-27	32.5499992370605	65.3000030517578	82.9000015258789	0	0	0	0	0	0	0	0	0	0	0	0	0	52.2000007629395	-12.6000003814697	38.5999984741211	15.3000001907349	-24.7000007629395	11.6999998092651	16	-11.25	-19.2000007629395	-11.3000001907349	-16.2000007629395	9.30000019073486	22	16	13.5	9.89999961853027	16.6999998092651	13.5	40.8999996185303	11.1000003814697	-25.7999992370605	-34.7999992370605	53.7000007629395	-31.7999992370605	33	56.2000007629395	49.2000007629395	32.0999984741211	-28.5	44.4500007629395	0
5	NA	NA	NA	NA	24.6000003814697	-10.6000003814697	26.1000003814697	-35.7999992370605	22.0500001907349	-17.4499998092651	-26.7999992370605	-22.0500001907349	10.8000001907349	-13.0499997138977	-31.2999992370605	-45.5	98.9000015258789	98.9000015258789	96.9000015258789	98.4000015258789	89.4000015258789	54.2000007629395	26	68.0500030517578	26.1000003814697	-24.2000007629395	-33.7999992370605	9.59999990463257	23	37.0999984741211	40.5999984741211	21.75	27.8500003814697	-35.7999992370605	0	36.0999984741211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-52.75	20.6499996185303	68.3000030517578	19.75	23.0499992370605	-7.09999990463257	32.5999984741211	31.1000003814697	15.5	-24.8999996185303	-13.9499998092651	11.8999996185303	23.6000003814697	19.25	30	22.3999996185303	13.5	49.2000007629395	68.8000030517578	59.7000007629395	15.3499999046326	-57	-20.2000007629395	-40.9000015258789	-28.2000007629395	-11.1999998092651	17.4499998092651	26.0500001907349	53.2000007629395	83.9000015258789	0
6	NA	NA	NA	NA	NA	19.5	32.0999984741211	-26.7000007629395	32.5999984741211	23.6000003814697	14	9.89999961853027	19	27.0500001907349	10.3999996185303	12.8999996185303	97.4000015258789	90.9000015258789	61.25	92.4000015258789	81.4000015258789	79.3000030517578	-11.3999996185303	92.4000015258789	57.2000007629395	23.6000003814697	24	-9.59999990463257	25.1000003814697	34.5999984741211	33.0999984741211	-9.89999961853027	12.4499998092651	-19.6000003814697	0	57.4500007629395	0	61.7999992370605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-62.0999984741211	79.3000030517578	79.8000030517578	34.0999984741211	38	-14.5	23.3000001907349	22.8000001907349	24.3000001907349	-18.7000007629395	-10.8000001907349	7.29999995231628	20	-12.7000002861023	-22.5	-37.0499992370605	-19.6000003814697	44.2000007629395	63.5499992370605	57.7000007629395	51.9500007629395	-26.7000007629395	-16.1500005722046	-25.7999992370605	-46.9000015258789	-10.3000001907349	-18.2000007629395	-32.7999992370605	24.5	69.5500030517578	0
7	NA	NA	NA	NA	NA	NA	19	-27.7000007629395	46.2000007629395	40.5999984741211	37.5999984741211	25.1000003814697	46.2000007629395	42.6499996185303	48.2000007629395	56.2000007629395	93.6500015258789	-11.9000000953674	-51	-30.2999992370605	16	52.7000007629395	-30.5499992370605	93.4000015258789	79.3000030517578	60.7000007629395	43.7000007629395	33.5999984741211	37.0999984741211	31.3000001907349	32.0999984741211	-9.75	-12.4000000953674	-18.2000007629395	0	63.7999992370605	63.2999992370605	61.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-62.0999984741211	97.9000015258789	76.3000030517578	-9.45000028610229	20.3999996185303	-13.3000001907349	22.6999998092651	25.5	17.7000007629395	11.5	21	-12.1000003814697	12.25	-36.7999992370605	-44.1500015258789	-59	-45.9000015258789	7.40000009536743	28.6000003814697	43.7000007629395	58.2000007629395	19.7000007629395	-7.80000019073486	41.5999984741211	-11.6000003814697	33.9000015258789	28.1000003814697	-56.5	-23.7999992370605	29.1000003814697	0
8	NA	NA	NA	NA	NA	NA	NA	13	-6.89999985694885	-50	0.650000095367432	-37.7999992370605	-41.4000015258789	-18.6000003814697	-22.7000007629395	11.3999996185303	22.1000003814697	35.0999984741211	93.9000015258789	96.9000015258789	72.3000030517578	38.5999984741211	79.3000030517578	-46.4000015258789	-30.2999992370605	96.9000015258789	95.4000015258789	69.3000030517578	43.7000007629395	31.5	10.5999999046326	-30.2999992370605	31.1000003814697	-32.2999992370605	0	21.1000003814697	14	43.4500007629395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	49.7000007629395	-17.6500005722046	-17.1500005722046	-14.3000001907349	15.8000001907349	-9.69999980926514	-19.1000003814697	-11.6999998092651	13.1500000953674	6.59999990463257	-9.60000038146973	45.2000007629395	53.2000007629395	58.2000007629395	59.9500007629395	-26.2000007629395	-32.3500003814697	-23.4500007629395	12.6999998092651	-11.1000003814697	46.2000007629395	-19.1000003814697	-12.7000002861023	-31.5499992370605	15.1500000953674	37.5	38.5999984741211	28.6000003814697	-17.7000007629395	0
9	NA	NA	NA	NA	NA	NA	NA	NA	11.5	23.1000003814697	75.8000030517578	79.3000030517578	78.8000030517578	77.3000030517578	42.7000007629395	20.6999998092651	20	87.4000015258789	92.4000015258789	83.4000015258789	71.8000030517578	80.8000030517578	23.6000003814697	-19.6000003814697	-69.0999984741211	-34.7999992370605	98.9000015258789	98.9000015258789	97.4000015258789	90.9000015258789	83.1000022888184	58.7000007629395	72.3000030517578	-65.3499984741211	0	47.4500007629395	0	61.2999992370605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-76.6999969482422	43.6499996185303	91.9000015258789	98.9000015258789	98.9000015258789	7.5	10.8000001907349	-10.25	20.75	-23.2999992370605	-13.6999998092651	-15.6000003814697	-27.7999992370605	27.6000003814697	12.3999996185303	43.3999996185303	65.8000030517578	42.7000007629395	-19.2000007629395	-0.599999904632568	-37.1000003814697	46.2000007629395	71.3000030517578	-42.9000015258789	-37.7999992370605	-21.7000007629395	10.1999998092651	-26.2999992370605	-33.7999992370605	40.3499984741211	0
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.6000003814697	29.1000003814697	35.0999984741211	43.2000007629395	54.2000007629395	34.5999984741211	43.1499996185303	-9.10000038146973	81.6500015258789	92.4000015258789	90.9000015258789	84.4000015258789	44.0999984741211	-55	75.8000030517578	-83.8000030517578	-11.1000003814697	98.9000015258789	98.9000015258789	97.4000015258789	96.4000015258789	94.4000015258789	92.9000015258789	89.4000015258789	-37.1000003814697	0	54.7000007629395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-62.0999984741211	74.3000030517578	95.4000015258789	98.9000015258789	92.9000015258789	-18.9000005722046	15.3999996185303	21.3999996185303	16.25	-26.4500007629395	-17.2000007629395	88.4000015258789	-30.2999992370605	-21.7000007629395	-15.6999998092651	14.5	37.8499984741211	33.0999984741211	-45.5	43.7000007629395	-30.5499992370605	38.5999984741211	66.3000030517578	-38.9000015258789	-29.7999992370605	-29.0999994277954	16.5	-29.7999992370605	-19.6000003814697	49.6499996185303	0
