V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81
1	16.5	-11.3999996185303	75.3000030517578	78.3000030517578	15.8000001907349	-25.7000007629395	8.89999961853027	33.5999984741211	49.7000007629395	32.4000015258789	84.1500015258789	93.9000015258789	69.5500030517578	-27.2999992370605	44	80.3000030517578	-31.7999992370605	29.1000003814697	64.3000030517578	33.0999984741211	24.1000003814697	86.4000015258789	98.9000015258789	76.3000030517578	6.59999990463257	-16.7999992370605	-12.1500000953674	-12.1000003814697	-18.7000007629395	29.3500003814697	65.0500030517578	59.7000007629395	0	46.2000007629395	26.5	25.1999998092651	0	0	0	0	0	0	0	0	73.8000030517578	31.1000003814697	29.1000003814697	-12.1999998092651	22.6000003814697	-35.7999992370605	26	-13.1999998092651	29.75	29.1000003814697	25.1000003814697	-17.1000003814697	-20.7000007629395	-20.5499992370605	-21.3500003814697	-27.7000007629395	12.1499996185303	31.4499998092651	16	8.80000019073486	-13.8999996185303	18.7999992370605	12.3999996185303	33.5999984741211	15.8999996185303	61.2999992370605	44.7000007629395	94.9000015258789	23	11	26	50.7000007629395	27.6000003814697	12.8999996185303	5.59999990463257	18	30.5
2	NA	12	15	-38.7999992370605	30	53.7000007629395	60.2000007629395	-35.7999992370605	-32.2999992370605	51.4500007629395	42.7000007629395	-34.9000015258789	-25.7999992370605	77.3000030517578	40.0999984741211	23	60.7000007629395	-24.2000007629395	-41.9000015258789	50.7000007629395	46.7000007629395	49.7000007629395	-51	71.8000030517578	97.9000015258789	81.4000015258789	67.5500030517578	82.1500015258789	98.9000015258789	98.9000015258789	75.3000030517578	42.9500007629395	-14.1000003814697	-24.5500001907349	-26.2999992370605	-26.7000007629395	-18.6500005722046	46.7000007629395	56.2000007629395	57.25	0	0	0	0	54.7000007629395	-17.1000003814697	-11.3000001907349	17.8999996185303	-25.7000007629395	16	-30.2999992370605	18.5	-49.5	-48.7000007629395	-42.4000015258789	-6.45000004768372	13.3999996185303	12.3000001907349	10.5999999046326	20.5	51.2000007629395	38.5999984741211	41.2000007629395	15	-10.1000003814697	-31.7999992370605	-11.6000003814697	-21.2999992370605	17.5	-46.4000015258789	13.3000001907349	16.2000007629395	90.9000015258789	96.9000015258789	67.5500030517578	-53.5	47.7000007629395	67.8000030517578	13.6999998092651	-43.4000015258789	0
3	NA	NA	-13.6000003814697	19.7999992370605	31.5	-8.5	-28.7999992370605	90.6500015258789	96.6500015258789	92.9000015258789	82.8000030517578	34.5999984741211	-21.2000007629395	75.3000030517578	96.4000015258789	41.5999984741211	97.9000015258789	98.9000015258789	-12.1000003814697	-62.0999984741211	-62.0999984741211	40.0999984741211	77.8000030517578	71.3000030517578	-18.6499996185303	-33.2999992370605	15.5	23.5	30.8500003814697	-52	-30.7999992370605	67.8000030517578	0	-17.3999996185303	0	46.2000007629395	67.0500030517578	94.9000015258789	77.1000022888184	67.8000030517578	0	0	0	0	16.5	-9.19999980926514	45.0999984741211	24.1999998092651	13.8999996185303	-12.8999996185303	8.89999961853027	8.80000019073486	23.3500003814697	26.6000003814697	33.3499984741211	13.4499998092651	-21.2000007629395	-14.6999998092651	-24.8999996185303	-22.9500007629395	15.8999996185303	21	22	16.4499998092651	-8.30000019073486	-23.8999996185303	12.1000003814697	11	34.5999984741211	49.2000007629395	-23.7999992370605	83.9000015258789	-36.7999992370605	93.4000015258789	97.9000015258789	91.4000015258789	12.5500001907349	94.4000015258789	98.9000015258789	95.4000015258789	0
4	NA	NA	NA	20	-16.7000007629395	29.1000003814697	-14.8000001907349	96.9000015258789	98.4000015258789	97.9000015258789	90.9000015258789	69.8000030517578	-5.59999990463257	76.8000030517578	96.4000015258789	19.5	94.4000015258789	98.9000015258789	82.4000015258789	-61.0999984741211	-54	-33.7999992370605	79.8000030517578	74.3000030517578	-11.1000003814697	-35.7999992370605	11.8999996185303	24.75	55.2000007629395	22.8500003814697	34.0999984741211	70.8000030517578	0	-36.6000003814697	-24.7999992370605	67.8000030517578	92.4000015258789	97.4000015258789	91.6500015258789	0	0	0	0	0	-34.9000015258789	28.1000003814697	47.7000007629395	-6.54999995231628	24.5	-41.4000015258789	6.45000004768372	11.5500001907349	35.5999984741211	25.5500001907349	27.6000003814697	30.1000003814697	-22.7000007629395	-12.4000000953674	-20.7000007629395	-30.5999994277954	27.9499998092651	28.3500003814697	27.1000003814697	26.6000003814697	8.19999980926514	-8.04999971389771	16.5	26.5	10.0999999046326	64.8000030517578	-31.7999992370605	80.8000030517578	-7.44999980926514	90.9000015258789	98.4000015258789	93.4000015258789	19.9500007629395	92.1500015258789	98.9000015258789	98.4000015258789	0
5	NA	NA	NA	NA	10.8999996185303	-24.7000007629395	22.6000003814697	49.9500007629395	36.5999984741211	92.1500015258789	45.5999984741211	-32.2999992370605	-43.4000015258789	23.1000003814697	91.4000015258789	26.8999996185303	-60.3499984741211	88.4000015258789	98.9000015258789	97.6500015258789	-36.7999992370605	-47.9000015258789	-24.7000007629395	69.8000030517578	-15.1000003814697	-40.9000015258789	-38.9000015258789	-48.2000007629395	-14.8999996185303	36.5999984741211	82.4000015258789	34.7999992370605	0	66.8000030517578	72.8000030517578	98.6500015258789	98.9000015258789	98.9000015258789	94.1500015258789	69.8000030517578	0	0	0	0	32.5999984741211	34.0999984741211	29.1000003814697	18.5	-21.7000007629395	-7.64999985694885	41.0999984741211	26.1000003814697	-15.6000003814697	-21.4500007629395	-25.4500007629395	-12.3000001907349	22.8999996185303	29.6000003814697	25.1000003814697	23.5500001907349	10.6999998092651	15.1999998092651	16.6999998092651	-14.8000001907349	-19.7000007629395	-24.4500007629395	15.5	6.69999980926514	13	46.2000007629395	11.1000003814697	17.8999996185303	-12.1000003814697	9.39999961853027	85.1500015258789	96.4000015258789	34.0499992370605	17.5	86.9000015258789	98.9000015258789	0
6	NA	NA	NA	NA	NA	22.6000003814697	-19.7999992370605	30.6000003814697	16.5	-42.6500015258789	-15.6999998092651	75.8000030517578	84.4000015258789	94.9000015258789	98.9000015258789	13.3000001907349	48.2000007629395	-30.2999992370605	50.7000007629395	98.4000015258789	98.9000015258789	-50.75	-45.4000015258789	18	21.3999996185303	16.8999996185303	20.4499998092651	23.1000003814697	22	38.0999984741211	65.3000030517578	74.8000030517578	0	98.9000015258789	98.9000015258789	98.9000015258789	35.7999992370605	-61.8499984741211	-74.6999969482422	0	0	0	0	0	-59.5999984741211	96.9000015258789	85.9000015258789	28.1000003814697	34.5999984741211	-34.7999992370605	35.8499984741211	-13.6000003814697	30.5	30.6000003814697	35.7999992370605	-10.6000003814697	-28.2999992370605	-33.1000003814697	-29.2000007629395	-36.9000015258789	-20.0999994277954	11.8499999046326	23.5	27.6000003814697	14.0999999046326	31.1000003814697	-12.0999999046326	-9.20000028610229	-13.1999998092651	27.75	22	59.7000007629395	10.6999998092651	-32.1000003814697	-6.90000009536743	49.2000007629395	48.2000007629395	-46.6500015258789	-44.4000015258789	98.4000015258789	0
7	NA	NA	NA	NA	NA	NA	12.3000001907349	15.5500001907349	-16.6000003814697	11.1999998092651	14.5	31.6000003814697	14.8000001907349	51.2000007629395	79.3000030517578	71.8000030517578	90.4000015258789	53.7000007629395	-17.2000007629395	11.3499999046326	35.5999984741211	66.3000030517578	-21.7000007629395	25.6000003814697	55.2000007629395	66.8000030517578	91.4000015258789	85.6500015258789	70.8000030517578	-9.25	21.1499996185303	10.3000001907349	0	52.2000007629395	42.8499984741211	39.8499984741211	69.8000030517578	98.4000015258789	88.9000015258789	74.0500030517578	0	0	0	0	47.7000007629395	28.9499998092651	59.4500007629395	37	8.69999980926514	26.6000003814697	10.5	15.6999998092651	-6.19999980926514	-11.3999996185303	17	11.3499999046326	20	16.75	24	37.5999984741211	26.5	16.7999992370605	12.1999998092651	7.90000009536743	9.39999961853027	-15.6000003814697	10.5	-8.30000019073486	16.5	-21.7000007629395	20	-24.2000007629395	22.6000003814697	-17.2999992370605	-29.5499992370605	-27.7000007629395	78.3000030517578	44.8999996185303	63.7999992370605	31	0
8	NA	NA	NA	NA	NA	NA	NA	18.2000007629395	-21.7000007629395	24.1000003814697	-57	29.6000003814697	-29.7999992370605	69.8000030517578	73.8000030517578	-39.9000015258789	-61.5999984741211	96.4000015258789	98.9000015258789	97.9000015258789	96.9000015258789	85.4000015258789	12.5	-64.0999984741211	-25.75	-27.2000007629395	22.5	66.8000030517578	98.9000015258789	98.9000015258789	98.9000015258789	35.5999984741211	0	-22.5	0	0	0	0	0	0	0	0	0	0	-42.9000015258789	81.9000015258789	86.9000015258789	-51.5	-44.9000015258789	82.4000015258789	87.4000015258789	7.69999980926514	17.75	12	27.1000003814697	11.5	-9.69999980926514	-29.7999992370605	-39.9000015258789	-18.8500003814697	-23.7000007629395	-11.3999996185303	21.3999996185303	19.8999996185303	16	-11.1999998092651	-21.25	26.5	-10.6000003814697	-29.2999992370605	29.5	78.3000030517578	15.6999998092651	-7.55000019073486	-10.8000001907349	-25.2999992370605	-53	-14.6500000953674	12.1500000953674	33.5999984741211	0
9	NA	NA	NA	NA	NA	NA	NA	NA	17.5	-32.2999992370605	-56	8.5	-40.9000015258789	57.2000007629395	58.2000007629395	-46.9000015258789	-53	96.9000015258789	98.9000015258789	94.4000015258789	85.4000015258789	77.0500030517578	72.0500030517578	-47.4000015258789	-47.9000015258789	-44.9000015258789	-37.7999992370605	9	98.1500015258789	98.9000015258789	98.9000015258789	86.4000015258789	0	-16.7000007629395	-19.9500007629395	-30.7999992370605	0	0	0	0	0	0	0	0	-53	83.4000015258789	81.4000015258789	-54.25	-29.0499992370605	87.6500015258789	87.9000015258789	-14.8000001907349	19.5	25.1000003814697	29.3000001907349	16.8999996185303	-15.5	-33.0499992370605	-39.4000015258789	-30.7999992370605	7.25	13.5	13.1999998092651	21	-7.30000019073486	15.8999996185303	-15.5500001907349	22.1999998092651	13.3999996185303	-18.1000003814697	14.2999997138977	84.9000015258789	52.7000007629395	59.7000007629395	33.5499992370605	14.4499998092651	-43.5	-28.7999992370605	-40.4000015258789	-33.7999992370605	0
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	-28.2999992370605	7.69999980926514	8.69999980926514	54.2000007629395	85.4000015258789	66.8000030517578	12.1999998092651	-48.4000015258789	95.9000015258789	94.4000015258789	27.6000003814697	-50	-29.7999992370605	68.8000030517578	-12.1000003814697	-49.9500007629395	-72.6999969482422	-81.8000030517578	-81.25	-55.25	59.4500007629395	98.9000015258789	95.9000015258789	0	79.3000030517578	0	40.5999984741211	0	0	0	0	0	0	0	0	85.4000015258789	80.8000030517578	36.0999984741211	-17.5499992370605	61.2999992370605	98.9000015258789	58.75	-40.9000015258789	-60.3499984741211	-64.0999984741211	-10.1499996185303	-26.75	15.8999996185303	-15.6500005722046	-12.3000001907349	-17.8000001907349	-10.8500003814697	-12.8000001907349	0.25	10.4000000953674	-9.15000009536743	-21.7000007629395	-11.6000003814697	-10.6999998092651	-13.6500000953674	-36.7999992370605	6.25	31.8499994277954	47.2000007629395	35.0999984741211	45.7000007629395	37.0999984741211	28.0500001907349	-26.2000007629395	-32.5499992370605	-54	0
