V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40
1	26.6000003814697	-36.9000015258789	54.7000007629395	73.3000030517578	79.8000030517578	78.8000030517578	86.9000015258789	90.1500015258789	26.5	39.5999984741211	17.9499998092651	-13.3499999046326	22.5	23.6999998092651	13.5	20.5	29.6000003814697	74.3000030517578	88.9000015258789	-25.2000007629395	-20.7000007629395	18	8.90000009536743	-20.7000007629395	-33.7999992370605	-13.8999996185303	11	9.34999990463257	10.8000001907349	-7.09999990463257	-8.40000009536743	17	49.2000007629395	22.8999996185303	9.19999980926514	8.69999980926514	14	16.5	-15.6000003814697	12.5
2	NA	15	-23.7000007629395	-40.9000015258789	-26.7999992370605	-31.2999992370605	-30.5499992370605	12.9499998092651	20.8999996185303	30.1000003814697	8.89999961853027	-5.80000019073486	13.3999996185303	-8.79999971389771	9.39999961853027	14	10.3999996185303	27.5	39.5999984741211	16.9499998092651	-26.2000007629395	-18.6000003814697	-39	-51	-48.9000015258789	10.8999996185303	13.3000001907349	8.44999980926514	11	8.94999980926514	10.8000001907349	8	20.5	-16.5	9.89999961853027	16	10.3000001907349	11.6999998092651	11.6999998092651	13.5
3	NA	NA	22.1000003814697	-9.10000038146973	13.1999998092651	-22.7999992370605	-40.1500015258789	-20.5	-24.2999992370605	46.7000007629395	18.5	-12.6000003814697	25	-10.25	10.1999998092651	35.3499984741211	13	12	14.8499999046326	-26.7000007629395	-27.7000007629395	-21.7000007629395	-31.9000005722046	-48.9000015258789	-38.7999992370605	10.8000001907349	12.25	10.1000003814697	19.5	9.80000019073486	27.8000001907349	-10.1000003814697	24.6999998092651	-9.60000038146973	7.34999990463257	20.5	-9.60000038146973	18.5	12.25	12.8999996185303
4	NA	NA	NA	19	23	17	10.8999996185303	-49	-21.8999996185303	34.5	20.5	7	-9.30000019073486	15.5	12.3000001907349	19.5	8.39999961853027	8.90000009536743	16.9500007629395	14.3999996185303	-30.0499992370605	-17.6000003814697	-19.2000007629395	-34.7999992370605	-20.7000007629395	7.69999980926514	-7.90000009536743	12.8499999046326	-15.1999998092651	-11.6000003814697	-15.3000001907349	10.1500000953674	21.9499998092651	10.6999998092651	10.3999996185303	-16	14	-11.8999996185303	-18.1000003814697	-18.3999996185303
5	NA	NA	NA	NA	20	6.04999995231628	-30.7999992370605	-35.2999992370605	-29.7999992370605	11.8999996185303	-10.1000003814697	14.5	24	21.1000003814697	13	27	13.5500001907349	13.5	-25.8999996185303	-17.7000007629395	-43.9000015258789	-33.7999992370605	-44.9000015258789	-41.6500015258789	-24.3500003814697	9.89999961853027	-17.3500003814697	13.1000003814697	15.5	12	11.6999998092651	-7.34999990463257	13.5500001907349	-7.5	16.5	-14.3999996185303	-9.30000019073486	11.3999996185303	10.5499997138977	9.89999961853027
6	NA	NA	NA	NA	NA	9.19999980926514	37.0999984741211	-17.2999992370605	14	-18.1500005722046	7.5	12.5	7.5	20.4499998092651	12.1500000953674	27.0500001907349	16.1999998092651	11	-26.5500001907349	-41.6499996185303	-48.5	-31.7999992370605	-47.9000015258789	-37.5499992370605	-16.2000007629395	11.75	-20.8999996185303	11.5	-9.80000019073486	8.39999961853027	22.25	7.54999995231628	-10.1000003814697	14	19.1000003814697	10	7.20000004768372	0.149999618530273	-12.8500003814697	11.3000001907349
7	NA	NA	NA	NA	NA	NA	17.5	-44.9000015258789	17.4499998092651	-17.75	6.09999990463257	18.5	-9.89999961853027	10.3499999046326	14.5	23.5	-14.4500002861023	8.39999961853027	-24.75	-25.7000007629395	-55	-34.0499992370605	-39.4000015258789	-40.4000015258789	15.5999999046326	15.3999996185303	-15.8000001907349	9.5	-0.299999952316284	-11.6999998092651	15.9000000953674	-7.29999995231628	-6.30000019073486	12	20	7.70000004768372	-11.75	7.69999980926514	-18.2000007629395	-11.9000000953674
8	NA	NA	NA	NA	NA	NA	NA	29.1000003814697	24.6000003814697	-24.2000007629395	-24.2000007629395	15	27.6000003814697	17.6999998092651	15.8000001907349	42.7000007629395	9.20000028610229	6.90000009536743	-23.7999992370605	0	-54.5	-32.7999992370605	-32.7999992370605	-43.4000015258789	-15.8999996185303	13.1000003814697	-23.8999996185303	9.5	-7.59999990463257	10.3999996185303	9.15000009536743	-12.6000003814697	10.8499999046326	9.09999990463257	16.5	8.89999961853027	-9.60000038146973	9.39999961853027	-15.4000005722046	-11.3000001907349
9	NA	NA	NA	NA	NA	NA	NA	NA	10.5	13.8000001907349	18.2999992370605	12.5	-8.69999980926514	6.59999990463257	9.89999961853027	-20.2999992370605	-9.60000038146973	-10.6999998092651	27.6000003814697	-6.40000009536743	-11.8000001907349	11.6999998092651	9.34999990463257	19.5	28.4499998092651	-7.40000009536743	-13.3999996185303	9.89999961853027	-16.2999992370605	10.3999996185303	-13.5	10.6999998092651	-16.1500005722046	13.5	-10.6000003814697	-12.1000003814697	-9.10000038146973	-9.89999961853027	18.25	22.1000003814697
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	-19.1000003814697	23.6000003814697	12.8000001907349	31.6000003814697	16.75	10.25	10.6500000953674	15	9.10000038146973	-7.09999990463257	-0.0500001907348633	-24.9500007629395	-27.7999992370605	-14.3999996185303	-22.2999992370605	25.5500001907349	13.8999996185303	-17.7000007629395	13.75	19.75	-8.60000038146973	14.5	12.5	12.5	-11.6999998092651	15	14.3499999046326	-15.6000003814697	-12.6999998092651	-19	-17.75
