V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52
1	14.8999996185303	16.3999996185303	-28.2000007629395	-17.1000003814697	-12.3999996185303	18.3999996185303	8.39999961853027	24.5	17.5	-8	14	40.5999984741211	11	-7.90000009536743	10.1999998092651	-9.30000019073486	25.3999996185303	-9.5	10	12.5	24.5	9.80000019073486	10.7999997138977	12	10.2000002861023	11.6000003814697	11	13.8999996185303	11.1999998092651	-8.5	24.6499996185303	12.3999996185303	24.8000001907349	15.5	14.3999996185303	14.8000001907349	-6.80000019073486	13.5	37.5999984741211	39.5999984741211	17.3499994277954	11.3499999046326	13.8000001907349	9.44999980926514	12.8000001907349	9.80000019073486	21.3999996185303	8.44999980926514	18	-9.10000038146973	24.5	21
2	NA	27.6000003814697	-19.2000007629395	-14.0999999046326	-25.7000007629395	50.7000007629395	25.6000003814697	34.5999984741211	29.6000003814697	-27.2000007629395	-53	-54.5	-23.6000003814697	-13.3999996185303	28.6999998092651	-9.65000009536743	43.2000007629395	10.9000000953674	12.4499998092651	-27.3999996185303	50.7000007629395	-21.7000007629395	38.5999984741211	19.8999996185303	-8.60000038146973	-31.7999992370605	-26.7000007629395	-24.7000007629395	26.1000003814697	21.6000003814697	36.3499984741211	25.1000003814697	24.0500001907349	26.0500001907349	-27.8999996185303	21.0500001907349	17.2999992370605	18	23.6000003814697	19.25	-6.64999985694885	3.90000009536743	-9.30000019073486	23.8999996185303	17	-13.6999998092651	31.6000003814697	11.25	25.5	-14.8999996185303	25.5	21.5
3	NA	NA	17.3999996185303	18.5	23.1000003814697	37.8499984741211	13.8999996185303	18	17.5	-14.1000003814697	-38.8500003814697	-53	-25.7000007629395	14.5	22.1000003814697	-10.8000001907349	21.6000003814697	16.6499996185303	7.80000019073486	-18.8999996185303	19.8999996185303	-15.7999997138977	27.6000003814697	18	18	-22.4500007629395	-22.2000007629395	-18.6000003814697	24.5	-7.5	35.8499984741211	18.8999996185303	13	15.8000001907349	-21.7000007629395	12	11.3000001907349	12.5	25	14.5	-13.1999998092651	16.3999996185303	6.5	25.6000003814697	27.0500001907349	-14.1000003814697	28.5500001907349	12.1999998092651	22.2999992370605	8.94999980926514	9.39999961853027	-8.80000019073486
4	NA	NA	NA	24.5500001907349	18.2999992370605	43.2000007629395	16.5	20.5	32.5999984741211	-14.6000003814697	-34.5499992370605	0	-28.7000007629395	-14.8000001907349	24	22.5	18.8999996185303	10.5	8.80000019073486	-18.2000007629395	9.89999961853027	-9.30000019073486	24.1000003814697	19.5	24.6000003814697	-13.9000000953674	6.80000019073486	-14.1000003814697	23.8999996185303	-7.90000009536743	32.5999984741211	10.5	-8.19999980926514	9.84999990463257	-16.2000007629395	16.75	13.2999997138977	-10.5500001907349	12.5	14	-18.7999992370605	13.5999999046326	-9.30000019073486	16.8999996185303	25.5	-13.3000001907349	23.5	11.3499999046326	16	14.5	9.09999990463257	17.25
5	NA	NA	NA	NA	11	-20.2000007629395	-8.19999980926514	-20.7000007629395	-11.1999998092651	17.7999992370605	20	15.4499998092651	-7.59999990463257	12.3999996185303	-10.1999998092651	13.5	-27.7999992370605	13.5	9.10000038146973	11	-32.2999992370605	13.5	-17.6000003814697	8.10000038146973	-10.5	11.8000001907349	-6.29999995231628	13.1999998092651	-12.1000003814697	10.3000001907349	-16.2999992370605	-10.8499999046326	-11.1999998092651	-9.80000019073486	11.5	-18.2000007629395	10.5	-22.7000007629395	-25.25	-20.7000007629395	-9.19999980926514	-12.1000003814697	-8.10000038146973	-10.1999998092651	-9.89999961853027	14.3999996185303	-17.6000003814697	13.3999996185303	-18.2999992370605	14.8000001907349	-22.75	-9.15000009536743
6	NA	NA	NA	NA	NA	25.5	-7.90000009536743	21.5500001907349	33.5999984741211	15.3000001907349	-9.69999980926514	9.5	-13.3000001907349	-15.8999996185303	18.9499998092651	11.1999998092651	26.5500001907349	-11.3499999046326	12.8999996185303	-12.6000003814697	31	7	18.5	15.5	38.0999984741211	-17.2000007629395	-13.25	-19.6000003814697	14.1999998092651	-12.6000003814697	36.0999984741211	20.5	20.5	13.25	-12.6000003814697	11.6999998092651	10.4499998092651	21.1000003814697	22.25	34.5999984741211	-10	-7.5	-13.6000003814697	26.1000003814697	23.6000003814697	11.3000001907349	32	-11.0499997138977	-9.95000028610229	-15.3999996185303	25.1000003814697	0
7	NA	NA	NA	NA	NA	NA	13.8000001907349	-28.7999992370605	-32.7999992370605	-18.6000003814697	23.6000003814697	38.0999984741211	14.3000001907349	-9.39999961853027	12.3000001907349	9.19999980926514	15.5	6.59999990463257	-5.80000019073486	9	21.6000003814697	-9.80000019073486	12.5	11.1000003814697	11.75	8.19999980926514	16.2000007629395	-13.1000003814697	12.1999998092651	8.60000038146973	-9	10	9.5	10.9499998092651	-6.69999980926514	15.75	8.19999980926514	24.1000003814697	23.3999996185303	20.5	8.39999961853027	11.8000001907349	-15.1999998092651	11.6999998092651	-19.3999996185303	-13.6999998092651	14.3000001907349	11.5	14.1999998092651	10.5	18.5	0
8	NA	NA	NA	NA	NA	NA	NA	22.5	-9.69999980926514	-11.0500001907349	-50	-74.1999969482422	-48.9500007629395	-17.1000003814697	19	8.10000038146973	35.0999984741211	-17.1000003814697	8.59999990463257	-16.7999992370605	35.3499984741211	-11.8999996185303	22	15	-11.6000003814697	-20.2000007629395	16.2999992370605	-26.7000007629395	15.1999998092651	13.3999996185303	24.8999996185303	18.3999996185303	17	18.5	-19.7000007629395	31.6000003814697	6.30000019073486	32.0999984741211	37.0999984741211	15.8999996185303	-15.6000003814697	17	15.3000001907349	-9.39999961853027	-14.25	-15.6999998092651	30.1000003814697	-7.69999980926514	31	-9.20000028610229	23.6000003814697	0
9	NA	NA	NA	NA	NA	NA	NA	NA	25.6000003814697	-21.2000007629395	-45.4000015258789	-72.1999969482422	-48.2000007629395	-20.25	20	5.54999995231628	27.5	-10.6000003814697	15.5	-16.7000007629395	37.5999984741211	9.15000009536743	15.3999996185303	10.1000003814697	17.3500003814697	-14.6000003814697	12.8499999046326	-12.1999998092651	22.5	9.19999980926514	26.6000003814697	12.3000001907349	-9.30000019073486	-10.6000003814697	-17.7000007629395	23.2999992370605	10.2999997138977	22.3000001907349	11.1999998092651	-10.9499998092651	4.5	17.5	20	13.9499998092651	10	-13.3000001907349	24.1000003814697	8.69999980926514	11.3499999046326	-12.2000002861023	25.1000003814697	0
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.8999996185303	25.5	-35.2999992370605	-40.9000015258789	19	-14.5	14	-9.29999971389771	12.8999996185303	8.80000019073486	-8.80000019073486	-14.6000003814697	-10.3999996185303	7.29999995231628	9.19999980926514	14.1999998092651	7.54999995231628	-9.30000019073486	14.8999996185303	17.2000007629395	-15.25	-20.7000007629395	-18.7000007629395	-11.6999998092651	-9.19999980926514	14.9499998092651	11	11.8000001907349	9.89999961853027	-20.2000007629395	-14.1000003814697	6.5	17.5	8.80000019073486	12.3999996185303	6.89999985694885	15.8499999046326	-8.10000038146973	8.5	-7.59999990463257	-9.10000038146973	-18.1000003814697	0
